sample_id	ancestry
TGG_1483	eas
TGG_1484	eas
TGG_1485	NA
TGG_1486	eas
TGG_1487	eas
TGG_1488	NA
TGG_1489	eas
TGG_1490	NA
TGG_1491	eas
TGG_1492	eas
TGG_1493	NA
TGG_1494	NA
TGG_1495	eas
TGG_1496	eas
TGG_1497	eas
TGG_1498	NA
TGG_1499	eas
TGG_1500	eas
TGG_1501	NA
TGG_1502	NA
TGG_1503	eas
TGG_1504	NA
TGG_1505	NA
TGG_1506	eas
TGG_1507	eas
TGG_1508	NA
TGG_1509	NA
TGG_1510	eas
TGG_1511	eas
TGG_1512	eas
TGG_1513	eas
TGG_1514	eas
TGG_1515	eas
TGG_1516	eas
TGG_1517	NA
TGG_1518	NA
TGG_1519	eas
TGG_1520	eas
TGG_1521	NA
TGG_1522	eas
TGG_1523	eas
TGG_1524	eas
TGG_1525	NA
TGG_1526	NA
TGG_1527	eas
TGG_1528	eas
TGG_1529	eas
TGG_1530	eas
TGG_1531	eas
TGG_1532	NA
TGG_1533	NA
TGG_1534	eas
TGG_1535	eas
TGG_1536	NA
TGG_1537	NA
TGG_1538	NA
TGG_1539	afr
TGG_1540	afr
TGG_1541	afr
TGG_1542	afr
TGG_1543	afr
TGG_1544	NA
TGG_1545	afr
TGG_1546	afr
TGG_1547	afr
TGG_1548	NA
TGG_1549	afr
TGG_1550	afr
TGG_1551	NA
TGG_1552	NA
TGG_1553	NA
TGG_1554	NA
TGG_1555	NA
TGG_1556	eas
TGG_1557	eas
TGG_1558	eas
TGG_1559	eas
TGG_1560	eas
TGG_1561	eas
TGG_1562	NA
TGG_1563	NA
TGG_1564	NA
TGG_1565	NA
TGG_1566	eas
TGG_1567	eas
TGG_1568	NA
TGG_1569	eas
TGG_1570	NA
TGG_1571	eas
TGG_1572	eas
TGG_1573	eas
TGG_1574	NA
TGG_1575	eas
TGG_1576	NA
TGG_1577	eas
TGG_1578	eas
TGG_1579	eas
TGG_1580	NA
TGG_1581	eas
TGG_1582	NA
TGG_1583	NA
TGG_1584	NA
TGG_1585	eas
TGG_1586	eas
TGG_1587	NA
TGG_1588	eas
TGG_1589	NA
TGG_1590	NA
TGG_1591	NA
TGG_1592	eas
TGG_1593	NA
TGG_1594	eas
TGG_1595	afr
TGG_1596	NA
TGG_1597	afr
TGG_1598	NA
TGG_1599	afr
TGG_1600	NA
TGG_1601	afr
TGG_1602	NA
TGG_1603	afr
TGG_1604	afr
TGG_1605	afr
TGG_1606	afr
TGG_1607	afr
TGG_1608	eas
TGG_1609	eas
TGG_1610	NA
TGG_1611	NA
TGG_1612	NA
TGG_1613	eas
TGG_1614	eas
TGG_1615	eas
TGG_1616	eas
TGG_1617	eas
TGG_1618	NA
TGG_1619	eas
TGG_1620	NA
TGG_1621	eas
TGG_1622	eas
TGG_1623	eas
TGG_1624	NA
TGG_1625	eas
TGG_1626	eas
TGG_1627	NA
TGG_1628	NA
TGG_1629	afr
TGG_1630	NA
TGG_1631	NA
TGG_1632	NA
TGG_1633	NA
TGG_1634	afr
TGG_1635	afr
TGG_1636	NA
TGG_1637	NA
TGG_1638	NA
TGG_1639	afr
TGG_1640	afr
TGG_1641	afr
TGG_1642	NA
TGG_1643	afr
TGG_1644	afr
TGG_1645	afr
TGG_1646	NA
TGG_1647	NA
TGG_1648	NA
TGG_1649	afr
TGG_1650	NA
TGG_1651	afr
TGG_1652	afr
TGG_1653	afr
TGG_1654	NA
TGG_1655	afr
TGG_1656	afr
TGG_1657	NA
TGG_1658	NA
TGG_1659	NA
TGG_1660	afr
TGG_1661	afr
TGG_1662	afr
TGG_1663	afr
TGG_1664	NA
TGG_1665	afr
TGG_1666	afr
TGG_1667	afr
TGG_1668	NA
TGG_1669	afr
TGG_1670	afr
TGG_1671	afr
TGG_1672	afr
TGG_1673	NA
TGG_1674	afr
TGG_1675	afr
TGG_1676	afr
TGG_1677	afr
TGG_1678	afr
TGG_1679	NA
TGG_1680	afr
TGG_1681	NA
TGG_1682	afr
TGG_1683	afr
TGG_1684	afr
TGG_1685	afr
TGG_1686	afr
TGG_1687	NA
TGG_1688	NA
TGG_1689	afr
TGG_1690	NA
TGG_1691	afr
TGG_1692	NA
TGG_1693	afr
TGG_1694	afr
TGG_1695	afr
TGG_1696	afr
TGG_1697	afr
TGG_1698	afr
TGG_1699	NA
TGG_1700	afr
TGG_1701	afr
TGG_1702	afr
TGG_1703	afr
TGG_1704	afr
TGG_1705	afr
TGG_1706	NA
TGG_1707	afr
TGG_1708	afr
TGG_1709	afr
TGG_1710	afr
TGG_1711	NA
TGG_1712	afr
TGG_1713	afr
TGG_1714	afr
TGG_1715	afr
TGG_1716	NA
TGG_1717	NA
TGG_1718	afr
TGG_1719	NA
TGG_1720	NA
TGG_1721	afr
TGG_1722	afr
TGG_1723	afr
TGG_1724	afr
TGG_1725	afr
TGG_1726	afr
TGG_1727	afr
TGG_1728	afr
TGG_1729	amr
TGG_1730	amr
TGG_1731	NA
TGG_1732	amr
TGG_1733	amr
TGG_1734	NA
TGG_1735	amr
TGG_1736	NA
TGG_1737	amr
TGG_1738	amr
TGG_1739	amr
TGG_1740	amr
TGG_1741	amr
TGG_1742	amr
TGG_1743	amr
TGG_1744	amr
TGG_1745	NA
TGG_1746	amr
TGG_1747	afr
TGG_1748	afr
TGG_1749	afr
TGG_1750	afr
TGG_1751	NA
TGG_1752	NA
TGG_1753	NA
TGG_1754	afr
TGG_1755	amr
TGG_1756	NA
TGG_1757	NA
TGG_1758	amr
TGG_1759	NA
TGG_1760	amr
TGG_1761	NA
TGG_1762	NA
TGG_1763	amr
TGG_1764	NA
TGG_1765	NA
TGG_1766	NA
TGG_1767	amr
TGG_1768	NA
TGG_1769	amr
TGG_1770	amr
TGG_1771	NA
TGG_1772	NA
TGG_1773	amr
TGG_1774	amr
TGG_1775	amr
TGG_1776	amr
TGG_1777	amr
TGG_1778	amr
TGG_1779	NA
TGG_1780	amr
TGG_1781	amr
TGG_1782	NA
TGG_1783	amr
TGG_1784	amr
TGG_1785	amr
TGG_1786	NA
TGG_1787	NA
TGG_1788	afr
TGG_1789	afr
TGG_1790	afr
TGG_1791	NA
TGG_1792	afr
TGG_1793	afr
TGG_1794	afr
TGG_1795	afr
TGG_1796	afr
TGG_1797	afr
TGG_1798	afr
TGG_1799	NA
TGG_1800	NA
TGG_1801	NA
TGG_1802	afr
TGG_1803	afr
TGG_1804	NA
TGG_1805	afr
TGG_1806	NA
TGG_1807	afr
TGG_1808	afr
TGG_1809	afr
TGG_1810	NA
TGG_1811	afr
TGG_1812	NA
TGG_1813	afr
TGG_1814	afr
TGG_1815	NA
TGG_1816	afr
TGG_1817	afr
TGG_1818	afr
TGG_1819	afr
TGG_1820	afr
TGG_1821	afr
TGG_1822	afr
TGG_1823	NA
TGG_1824	NA
TGG_1825	NA
TGG_1826	afr
TGG_1827	afr
TGG_1828	afr
TGG_1829	afr
TGG_1830	afr
TGG_1831	afr
TGG_1832	nfe
TGG_1833	nfe
TGG_1834	nfe
TGG_1835	nfe
TGG_1836	NA
TGG_1837	nfe
TGG_1838	nfe
TGG_1839	nfe
TGG_1840	NA
TGG_1841	nfe
TGG_1842	nfe
TGG_1843	nfe
TGG_1844	nfe
TGG_1845	NA
TGG_1846	nfe
TGG_1847	NA
TGG_1848	nfe
TGG_1849	NA
TGG_1850	NA
TGG_1851	NA
TGG_1852	nfe
TGG_1853	nfe
TGG_1854	nfe
TGG_1855	nfe
TGG_1856	NA
TGG_1857	nfe
TGG_1858	NA
TGG_1859	NA
TGG_1860	NA
TGG_1861	nfe
TGG_1862	nfe
TGG_1863	NA
TGG_1864	nfe
TGG_1865	nfe
TGG_1866	nfe
TGG_1867	nfe
TGG_1868	nfe
TGG_1869	nfe
TGG_1870	nfe
TGG_1871	nfe
TGG_1872	nfe
TGG_1873	nfe
TGG_1874	nfe
TGG_1875	NA
TGG_1876	NA
TGG_1877	NA
TGG_1878	nfe
TGG_1879	nfe
TGG_1880	NA
TGG_1881	NA
TGG_1882	nfe
TGG_1883	NA
TGG_1884	nfe
TGG_1885	NA
TGG_1886	NA
TGG_1887	nfe
TGG_1888	nfe
TGG_1889	nfe
TGG_1890	NA
TGG_1891	nfe
TGG_1892	nfe
TGG_1893	NA
TGG_1894	nfe
TGG_1895	nfe
TGG_1896	nfe
TGG_1897	nfe
TGG_1898	nfe
TGG_1899	nfe
TGG_1900	NA
TGG_1901	NA
TGG_1902	NA
TGG_1903	nfe
TGG_1904	nfe
TGG_1905	nfe
TGG_1906	nfe
TGG_1907	NA
TGG_1908	nfe
TGG_1909	nfe
TGG_1910	nfe
TGG_1911	nfe
TGG_1912	nfe
TGG_1913	NA
TGG_1914	NA
TGG_1915	NA
TGG_1916	sas
TGG_1917	sas
TGG_1918	sas
TGG_1919	NA
TGG_1920	sas
TGG_1921	sas
TGG_1922	NA
TGG_1923	sas
TGG_1924	NA
TGG_1925	sas
TGG_1926	NA
TGG_1927	sas
TGG_1928	sas
TGG_1929	sas
TGG_1930	sas
TGG_1931	sas
TGG_1932	NA
TGG_1933	sas
TGG_1934	NA
TGG_1935	sas
TGG_1936	NA
TGG_1937	NA
TGG_1938	sas
TGG_1939	NA
TGG_1940	NA
TGG_1941	sas
TGG_1942	NA
TGG_1943	NA
TGG_1944	sas
TGG_1945	NA
TGG_1946	NA
TGG_1947	sas
TGG_1948	sas
TGG_1949	sas
TGG_1950	sas
TGG_1951	sas
TGG_1952	sas
TGG_1953	NA
TGG_1954	sas
TGG_1955	NA
TGG_1956	sas
TGG_1957	NA
TGG_1958	NA
TGG_1959	NA
TGG_1960	sas
TGG_1961	NA
TGG_1962	NA
TGG_1963	NA
TGG_1964	sas
TGG_1965	NA
TGG_1966	NA
